provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Chick-Fil-A,Drinks,"Large Sunjoy® (1/2 Sweet Tea,1/2 Lemonade)",861,280.0,0.0,0.0,0.0,0,0,72,0,68,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Small Sunjoy® (1/2 Sweet Tea,1/2 Diet Lemonade)",412,80.0,0.0,0.0,0.0,0,0,20,0,19,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','mid-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Medium Sunjoy® (1/2 Sweet Tea,1/2 Diet Lemonade)",551,100.0,0.0,0.0,0.0,0,0,25,0,24,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Large Sunjoy® (1/2 Sweet Tea,1/2 Diet Lemonade)",839,140.0,0.0,0.0,0.0,0,5,38,0,35,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','low-carb','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Small Sunjoy® (1/2 Unsweet Tea,1/2 Lemonade)",382,60.0,0.0,0.0,0.0,0,0,17,0,16,0,"['mid-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','mid-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Medium Sunjoy® (1/2 Unsweet Tea,1/2 Lemonade)",551,90.0,0.0,0.0,0.0,0,0,25,0,23,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Large Sunjoy® (1/2 Unsweet Tea,1/2 Lemonade)",839,140.0,0.0,0.0,0.0,0,0,39,0,36,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Small Sunjoy® (1/2 Unsweet Tea,1/2 Diet Lemonade)",422,15.0,0.0,0.0,0.0,0,0,4,0,3,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','mid-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Medium Sunjoy® (1/2 Unsweet Tea,1/2 Diet Lemonade)",551,20.0,0.0,0.0,0.0,0,0,6,0,4,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','mid-fiber','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,"Large Sunjoy® (1/2 Unsweet Tea,1/2 Diet Lemonade)",839,35.0,0.0,0.0,0.0,0,5,9,0,7,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','low-carb','sugar-free','high-fiber','mid-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Iced Coffee,437,130.0,2.5,1.5,0.0,10,70,23,0,23,4,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','low-sodium','mid-carb','high-sugar','fiber-free','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Vanilla Iced Coffee,436,130.0,2.5,1.5,0.0,10,70,22,0,21,4,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','low-sodium','mid-carb','high-sugar','fiber-free','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Small Coca-Cola®,241,100.0,0.0,0.0,0.0,0,35,27,0,27,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','mid-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Medium Coca-Cola®,469,190.0,0.0,0.0,0.0,0,65,53,0,53,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Large Coca-Cola®,765,310.0,0.0,0.0,0.0,0,105,86,0,86,0,"['mid-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
